,Algorithm,Components,Clusters,Homogeneity,WCSS,Time
0,PCA,1,7,0.06368443072190838,328.3288329373447,0.20272849999997788
0,PCA,2,7,0.1128573443769507,2743.472304441645,0.19682000000000244
0,PCA,3,7,0.13745637271738045,5518.6317654968,0.19409120000000257
0,PCA,4,7,0.12776260254619162,8108.435598806663,0.22038030000004483
0,PCA,5,7,0.16016850424450235,10528.324075369403,0.23312230000004774
0,PCA,6,7,0.16124338485366752,13229.598719442609,0.3497528999999986
0,PCA,7,7,0.16089492758085916,15816.721403553489,0.18409100000002354
0,PCA,8,7,0.1616938329310582,18073.861001452096,0.30215320000002066
0,PCA,9,7,0.1596145547134658,20317.618046782132,0.2698293999999919
0,PCA,10,7,0.15897910782201913,22579.23446022887,0.2199527999999873
0,PCA,11,7,0.15800818666166264,24706.622789486308,0.28612340000000813
0,PCA,12,7,0.15923635575418768,26692.299165132124,0.25814470000000256
0,PCA,13,7,0.15970169667873563,28751.62837460668,0.3046911999999793
0,PCA,14,7,0.15920553684309338,30774.1823854032,0.30672870000000785
0,PCA,15,7,0.1597663564332655,32720.70536910925,0.24953920000001517
0,PCA,16,7,0.1593363971757071,34663.74006335929,0.317799100000002
0,PCA,17,7,0.16019129641308485,36538.6372946304,0.29188530000004675
0,PCA,18,7,0.1596339093249918,38354.42332238889,0.2658969999999954
0,PCA,19,7,0.16004916594818824,40146.88955696668,0.32372739999999567
0,PCA,20,7,0.15968127097593948,41885.81336578666,0.44507129999999506
0,PCA,21,7,0.15975246769542095,43555.262271582535,0.30608510000001843
0,PCA,22,7,0.15999791649663223,45218.70725340977,0.338655000000017
0,PCA,23,7,0.16059134861240015,46840.391262625446,0.3474085999999943
0,PCA,24,7,0.160571240340289,48453.914051708576,0.35477520000000595
0,PCA,25,7,0.160207089892458,50000.21316969182,0.3740606999999727
0,PCA,26,7,0.16018035311616757,51544.184619351756,0.3513298999999961
0,PCA,27,7,0.16016374048688378,53058.47976634242,0.4264355999999907
0,PCA,28,7,0.1608519613687872,54560.44743676044,0.40920249999999214
0,PCA,29,7,0.16009838127700737,56007.774009864,0.39147830000001704
0,PCA,30,7,0.16045008491476803,57415.456167983924,0.4072582000000011
0,PCA,31,7,0.1604532902216466,58824.647737556756,0.4122982000000093
0,PCA,32,7,0.16062558996975226,60203.55072405556,0.37700089999998454
0,PCA,33,7,0.16120228485482546,61562.66600579144,0.41473430000002054
0,PCA,34,7,0.16129882136771495,62891.1116903478,0.3493193999999562
0,PCA,35,7,0.1608024108814108,64205.79646107519,0.38009920000001785
0,PCA,36,7,0.16119363856589536,65483.326846911776,0.4518158999999855
0,PCA,37,7,0.16101013992387092,66755.88431455224,0.48775590000002467
0,PCA,38,7,0.1612440736867988,68021.27148177591,0.4404423999999949
0,PCA,39,7,0.16043788022551178,69255.46079254507,0.5024123000000031
0,PCA,40,7,0.16039161838752256,70487.58264476348,0.39108800000002475
0,PCA,41,7,0.1605179150556267,71698.77460486053,0.4307321999999658
0,PCA,42,7,0.1598035462611543,72903.46404912388,0.4077733999999964
0,PCA,43,7,0.15951669207753608,74097.38941400612,0.4674342000000138
0,PCA,44,7,0.16027243085542583,75274.25831390839,0.6235697000000187
0,PCA,45,7,0.15984298113643003,76440.50857539165,0.639592700000037
0,PCA,46,7,0.1602591751198311,77604.02786716788,0.4840621000000169
0,PCA,47,7,0.15987953988116213,78754.83531570405,0.4960740999999871
0,PCA,48,7,0.16036800953141264,79890.05339065014,0.5305117999999993
0,PCA,49,7,0.16015285615745836,81017.43437273867,0.49953240000002097
0,PCA,1,8,0.06481477972185308,252.85281818750585,0.1417493999999806
0,PCA,2,8,0.11433894227912966,2404.347397633655,0.1770800000000463
0,PCA,3,8,0.1339112610650557,5088.891324764294,0.2964134000000058
0,PCA,4,8,0.13191126220521132,7602.463246911923,0.28473619999999755
0,PCA,5,8,0.16941854760382702,9975.588833623866,0.21009839999999258
0,PCA,6,8,0.18613310746362427,12602.037348110864,0.26746229999997695
0,PCA,7,8,0.17929513391778995,15064.933430698118,0.21127280000001747
0,PCA,8,8,0.18039610780313864,17319.26360096112,0.25826299999999947
0,PCA,9,8,0.1675438428851245,19557.073993320082,0.3346674000000007
0,PCA,10,8,0.19059807474532844,21779.992031896716,0.2513329000000226
0,PCA,11,8,0.18933480169492142,23881.25036432205,0.33024920000002567
0,PCA,12,8,0.16065388360174696,25858.876031990727,0.30832819999994854
0,PCA,13,8,0.16079624198334105,27917.279068291577,0.27443170000003647
0,PCA,14,8,0.15974877737628987,29923.491669852705,0.34762100000000373
0,PCA,15,8,0.15964182360020543,31860.85153539527,0.3449440999999638
0,PCA,16,8,0.1612299484468816,33799.59636159588,0.308676700000035
0,PCA,17,8,0.15940653201242677,35669.18170640468,0.38092519999997876
0,PCA,18,8,0.15971198306893555,37465.39007074457,0.3436848999999711
0,PCA,19,8,0.15972808069860203,39256.96749563178,0.31353230000001986
0,PCA,20,8,0.159497220555065,40988.315972606484,0.34324900000001435
0,PCA,21,8,0.1589437940217386,42652.63222507137,0.3791894999999954
0,PCA,22,8,0.15850902967276137,44313.767502267656,0.4175053999999818
0,PCA,23,8,0.1580905741201231,45922.268041415795,0.3855407000000355
0,PCA,24,8,0.15886641681345856,47528.12292843812,0.3640705000000253
0,PCA,25,8,0.15996317605417698,49072.74917446795,0.3789025000000379
0,PCA,26,8,0.1596684774000693,50616.931035715184,0.41026840000000675
0,PCA,27,8,0.15907030536897254,52131.033960309695,0.4678253999999811
0,PCA,28,8,0.15973454503893378,53633.2213977769,0.4748414000000025
0,PCA,29,8,0.15845947032934396,55077.11690554278,0.4148155999999972
0,PCA,30,8,0.15884589688557837,56485.24167016876,0.45900940000001356
0,PCA,31,8,0.15936205129405026,57891.04030215411,0.4087165999999911
0,PCA,32,8,0.15933668280214827,59269.42979419675,0.49873439999998936
0,PCA,33,8,0.1594242250779478,60627.59579266842,0.42740379999997913
0,PCA,34,8,0.15995374780269048,61954.058638655624,0.4035220999999751
0,PCA,35,8,0.1599097547508335,63267.676442018594,0.49413789999999835
0,PCA,36,8,0.16025748637270837,64545.788656608514,0.5777702000000318
0,PCA,37,8,0.15973754968971662,65817.54968627005,0.5217130999999995
0,PCA,38,8,0.15941618004321587,67082.67049416207,0.5092384000000152
0,PCA,39,8,0.15987041106793615,68319.00371785677,0.556915800000013
0,PCA,40,8,0.15946542652448112,69550.02940101478,0.6060007000000383
0,PCA,41,8,0.16031811892215345,70759.95615035726,0.4048115999999595
0,PCA,42,8,0.16014484613755592,71963.40862738366,0.4992998999999827
0,PCA,43,8,0.15918954022445314,73158.47246912181,0.5780634000000191
0,PCA,44,8,0.1593449153456976,74335.39875972916,0.5502217000000087
0,PCA,45,8,0.15888019239453494,75502.04204038181,0.513902900000005
0,PCA,46,8,0.1590081552075127,76662.7282032587,0.6180674999999951
0,PCA,47,8,0.1593005130037749,77814.49456202245,0.710376999999994
0,PCA,48,8,0.16031406614036203,78949.41384977405,0.5261758999999984
