,Algorithm,Components,Clusters,Homogeneity,Time
0,RCA,23,7,0.019932145505457893,1.861365400000011
0,RCA,23,8,0.018171511881965537,2.232488999999987
0,RCA,23,9,0.0142834125882568,1.4886309000000324
0,RCA,23,10,0.015605655630105363,1.9024431000000277
0,RCA,23,11,0.01826547258293835,2.882809399999985
0,RCA,23,12,0.04314297757277461,3.485499699999991
0,RCA,23,13,0.020589753107108793,2.0628622000000405
0,RCA,23,14,0.01944151415360459,4.133186200000068
0,RCA,23,15,0.021454024193273972,3.931955499999958
0,RCA,23,16,0.023042467056317507,4.987583400000062
0,RCA,23,17,0.012743035832619428,3.0134720000000925
0,RCA,23,18,0.024014268238730808,3.014044300000023
0,RCA,23,19,0.018432859024870633,3.4211294000000407
0,RCA,24,1,0.0,0.03972299999998086
0,RCA,24,2,0.0002732584228889009,0.244725399999993
0,RCA,24,3,0.0007991374998804907,0.6559730999999829
0,RCA,24,4,0.04115527559138355,0.5994302000000289
0,RCA,24,5,0.0023878968799924158,0.8736592999999857
0,RCA,24,6,0.03592272162584237,1.1110453999999663
0,RCA,24,7,0.015161403928904086,1.3507247000000007
0,RCA,24,8,0.006757881051450572,2.0325202999999874
0,RCA,24,9,0.014121538675673014,2.2894472000000405
0,RCA,24,10,0.018315808504721035,2.5596824999998944
0,RCA,24,11,0.021415043843368297,2.3378854000000047
0,RCA,24,12,0.01617762629936184,4.293223599999919
0,RCA,24,13,0.010168934282565626,3.0994448999999804
0,RCA,24,14,0.01692669256899394,2.8212914000000637
0,RCA,24,15,0.01077637742596422,3.7553546000000324
0,RCA,24,16,0.015494395262080442,3.7863923999999543
0,RCA,24,17,0.014312752503275246,2.5008596000000125
0,RCA,24,18,0.016789664997245404,2.8382837999999992
0,RCA,24,19,0.02011487066610509,3.9294760000000224
0,RCA,25,1,0.0,0.038935799999990195
0,RCA,25,2,0.0003030052944380917,0.25050919999989674
0,RCA,25,3,0.0005805448961713071,0.44097839999994903
0,RCA,25,4,0.00652724979512477,0.4611293000000387
0,RCA,25,5,0.007059435899842348,0.879886899999974
0,RCA,25,6,0.010473240121911287,1.010928100000001
0,RCA,25,7,0.006819128706758106,1.5605639999999994
0,RCA,25,8,0.015376330990585826,1.270137200000022
0,RCA,25,9,0.018652125931548004,2.267577299999971
0,RCA,25,10,0.009185426447182041,1.7654850000000124
0,RCA,25,11,0.02570530048389352,3.121526900000049
0,RCA,25,12,0.008255874041684978,2.1516889999999194
0,RCA,25,13,0.01610032023248885,3.3251542000000427
0,RCA,25,14,0.00841775242991419,2.885349900000051
0,RCA,25,15,0.026491193449855826,3.11408849999998
0,RCA,25,16,0.021558625966884695,3.4974101000000246
0,RCA,25,17,0.027141913801515687,2.640568099999996
0,RCA,25,18,0.013591128839855705,3.726537100000087
0,RCA,25,19,0.017681675904276235,3.4368625999999267
0,RCA,26,1,0.0,0.04000159999998232
0,RCA,26,2,0.00016583566205998913,0.2570316000000048
0,RCA,26,3,0.008348092239617761,0.577076199999965
0,RCA,26,4,0.005394817921278144,0.7252525999999762
0,RCA,26,5,0.007185455967804144,0.7562315000000126
0,RCA,26,6,0.004349105329889258,0.9046282000000474
0,RCA,26,7,0.015894468947473286,2.0737368999999717
0,RCA,26,8,0.01430141210173237,2.012627500000008
0,RCA,26,9,0.034776853850341634,2.1740261999999575
0,RCA,26,10,0.01478635884132159,2.8556637000000364
0,RCA,26,11,0.009210974392253048,2.4713524999999663
0,RCA,26,12,0.012765359522670742,2.381403999999975
0,RCA,26,13,0.014153370843962202,3.36939469999993
0,RCA,26,14,0.014292827963684748,2.2528676000000587
0,RCA,26,15,0.032693082927890554,4.719968900000026
0,RCA,26,16,0.012858897900201678,5.031156899999928
0,RCA,26,17,0.012922012383283821,2.5343359999999393
0,RCA,26,18,0.010697817145907035,3.615537199999949
0,RCA,26,19,0.021736540179229272,3.7097755000000916
0,RCA,27,1,0.0,0.04198940000003404
0,RCA,27,2,0.00031506784211988255,0.2670041000000083
0,RCA,27,3,0.0005873228504592158,0.4019594999999754
0,RCA,27,4,0.009901040514644355,0.8509858000001032
0,RCA,27,5,0.002209722466071589,1.1619033000000627
0,RCA,27,6,0.0030063078152198683,1.749858300000028
0,RCA,27,7,0.010944867477778085,3.104237600000033
0,RCA,27,8,0.014112284236651514,1.2743566000000328
