,Algorithm,Components,Clusters,AccuracyIn,AccuracyOut,Time
0,PCA,22,8,0.747,0.74675,2.0614305999999942
0,PCA,22,9,0.7545625,0.75375,4.864701599999989
0,PCA,22,10,0.7500625,0.75175,11.417510600000014
0,PCA,22,11,0.7536875,0.75475,11.990835599999969
0,PCA,22,12,0.7530625,0.75425,22.774744700000042
0,PCA,22,13,0.762375,0.76375,24.940799000000084
0,PCA,22,14,0.7660625,0.76275,17.29384989999994
0,PCA,22,15,0.6049375,0.60725,6.376101099999914
0,PCA,22,16,0.7690625,0.76675,18.86436630000003
0,PCA,22,17,0.7691875,0.7655,25.349353000000065
0,PCA,22,18,0.7031875,0.709,10.650682299999971
0,PCA,22,19,0.5,0.5,32.20153299999993
0,PCA,23,0,0.5,0.5,0.03583770000000186
0,PCA,23,1,0.5,0.5,0.5732540000001336
0,PCA,23,2,0.5,0.5,1.2560863999999583
0,PCA,23,3,0.53,0.538,4.4142466999999215
0,PCA,23,4,0.5981875,0.60825,3.637658500000043
0,PCA,23,5,0.740125,0.74225,10.342213599999923
0,PCA,23,6,0.5,0.5,3.738925800000061
0,PCA,23,7,0.6581875,0.66925,2.214772000000039
0,PCA,23,8,0.6650625,0.682,0.8465818000001946
0,PCA,23,9,0.64325,0.6455,6.362650700000131
0,PCA,23,10,0.74375,0.73875,9.720390400000042
0,PCA,23,11,0.6774375,0.68675,12.200527800000145
0,PCA,23,12,0.7495625,0.743,17.866429100000005
0,PCA,23,13,0.5,0.5,13.284805600000027
0,PCA,23,14,0.7501875,0.7435,3.7553186000000096
0,PCA,23,15,0.7529375,0.74625,26.826000700000122
0,PCA,23,16,0.7689375,0.7605,23.2980685
0,PCA,23,17,0.76925,0.7645,19.756845299999895
0,PCA,23,18,0.769375,0.76475,13.227536999999984
0,PCA,23,19,0.5,0.5,14.72441979999985
0,PCA,24,0,0.5,0.5,0.06438409999987016
0,PCA,24,1,0.5,0.5,0.4683521000001747
0,PCA,24,2,0.5,0.5,3.3151894999998603
0,PCA,24,3,0.6485,0.64975,1.011822200000097
0,PCA,24,4,0.7436875,0.75125,5.557359599999927
0,PCA,24,5,0.7233125,0.72775,4.51071120000006
0,PCA,24,6,0.5,0.5,6.483838800000058
0,PCA,24,7,0.7495625,0.75075,1.9320290000000568
0,PCA,24,8,0.7490625,0.7505,10.461872300000095
0,PCA,24,9,0.529625,0.52875,4.286686500000087
0,PCA,24,10,0.529625,0.52875,8.040234400000145
0,PCA,24,11,0.7694375,0.772,5.565953499999978
0,PCA,24,12,0.7694375,0.772,5.570805199999995
0,PCA,24,13,0.5,0.5,5.9654673
0,PCA,24,14,0.7648125,0.7685,31.304431799999975
0,PCA,24,15,0.5824375,0.57925,10.116403300000002
0,PCA,24,16,0.7706875,0.7725,12.427436500000113
0,PCA,24,17,0.768875,0.77175,12.136534199999915
0,PCA,24,18,0.76925,0.77225,3.291190400000005
0,PCA,24,19,0.5,0.5,11.241269399999965
0,PCA,25,0,0.82525,0.822,6.157028699999955
0,PCA,25,1,0.5,0.5,0.5370070999999825
0,PCA,25,2,0.5,0.5,3.705714500000113
0,PCA,25,3,0.7495625,0.75075,1.5287498000000141
0,PCA,25,4,0.75075,0.7525,7.258216700000048
